"","results"
"339","Here are the extracted details:

1. **Kampong**:
	* Serasa (village in Brunei)
2. **Price**:
	* $120,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: Yes
	* Detached: No
	* Semi-detached: No
4. **Storey**:
	* Single storey
5. **Status**:
	* Under-construction
6. **Land_size**:
	* Not mentioned (assumed to be part of the larger village area)
7. **Floor_size**:
	* Not mentioned (assuming based on ""single storey"" it's a single floor with an approximate size not provided)
8. **Beds**:
	* 4 rooms
9. **Baths**:
	* 2 toilets
10. **Land_type**:
	* Kekal (land in perpetuity)
11. **Additional Remark**:
	* Last unit available (implying a limited number of units remaining for sale)
12. **Caption**:
	* Single storey terrace bungalow house"
"340","Here are the extracted details:

1. **Kampong**: Junjungan
2. **Price**: $175,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
	* Terrace: Yes (Double storey)
4. **Storey**: Double storey
5. **Status**: Under construction
6. **Land_size**: 0.06 acres
7. **Floor_size**: 2300 sqft
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Big veranda
	* Front view facing (no specific details)
12. **No other additional remarks were mentioned in the original text, however it is worth noting that this is a double storey property at Junjungan which has 4 rooms and 3 toilets."
"341","Here are the extracted details:

* **Kampong:** Jerudong
* **Price:**
	+ Asking price: 8,771,110 (net)
	+ Monthly rent: 500 mnth (less than 400 mnth nett) 
	+ Long-term PM rate: 877,111 (nett)
* **Type:** None mentioned (implied to be an apartment or a type of residence, but not explicitly stated as one of the types - apartment, bungalow, detached, semi-detached)
* **Storey:** Not specified
* **Status:** For viewing (no mention of new, proposed, or under-construction status)
* **Land_size:** Not mentioned
* **Floor_size:** Implied to be 1st floor with a balcony and furnished interior
* **Beds:** 1 master bedroom
* **Baths:** 1 toilet
* **Land_type:** None mentioned (implied to be Leasehold or Kekal, but not explicitly stated)
* **Additional Remark:**
	+ Furnished as it is
	+ Includes water and electricity
	+ Long-term rental"
"342","Here are the extracted details:

**Kampong**: Tutong Birau Kiudang

**Price**: $65,000 (or 65k)

**Type**:
* Apartment: Not mentioned
* Bungalow: Not mentioned
* Detached: Not explicitly stated, but implied as a single unit for sale
* Semi-detached: Not mentioned

**Storey**: Single storey (implied from the context of ""tanah untuk di jual"", which means land for sale)

**Status**: Proposed (from the caption's mention of ""syarat pokok-pokok"" meaning main conditions or requirements)

**Land Size**: 0.3 ekar

**Floor Size**: Not explicitly mentioned, but implied to be related to the land size

**Beds**: Number of bedrooms: Not specified

**Baths**: Number of bathrooms: Not specified

**Land Type**: Kekal (in perpetuity)

**Additional Remark**: The remaining details are:

* Location: Tutong Birau Kiudang
* Lot number: 1 lot
* Price: $65,000"
"343","Here are the extracted details:

1. **kampong**: Lambak
2. **price**: B$335,000.00
3. **type**:
	* Apartment: None mentioned
	* Bungalow: None mentioned
	* Detached: None mentioned
	* Semi-detached: Yes (mentioned)
4. **storey**: Double storey
5. **status**: Under-construction (indicated by ""start piling"")
6. **land_size**: 0.08 acres (approximately 330 sqm)
7. **floor_size**: 2700 sq ft (approximately 251 sqm)
8. **beds**: 4 rooms (assuming bedrooms)
9. **baths**: 3 toilets (assuming bathrooms)
10. **land_type**: Leasehold
11. **Additional Remark**:
	* Starting to pile construction
	* Lease start piling"
"344","Here are the extracted details:

* **Kampong**: Subok
* **Price**: B$250,000.00
* **Type**: Semi-detached (and double storey)
* **Storey**: Double storey
* **Status**: Proposed
* **Land_size**: Not specified
* **Floor_size**: Not specified
* **Beds**: 4 rooms
* **Baths**: 4 toilets
* **Land_type**: Not specified (although it's mentioned as a ""double storey semi-detached house"", which implies a land type)
* **Additional Remark**: Early bird (likely indicating an early bird discount or promotion)
 
Note that some details are not explicitly stated in the provided text."
"345","Here are the extracted details:

* **kampong**: Jangsak (village in Brunei)
* **price**: 
	+ Rent: RM 900/month
* **type**:
	+ Semi-detached
* **storey**: Single storey
* **status**: For rent, unfurnished
* **land_size**: Not mentioned
* **floor_size**: Not mentioned
* **beds**: Not mentioned
* **baths**: Not mentioned
* **land_type**: Leasehold (implied by ""for rent"")
* **Additional Remark**: Unfurnished, curtain only"
"346","Here are the extracted details:

1. **Kampong**: Tg Nangka
2. **Price**: BND 125,000.00 (125,000)
3. **Type**:
	* Apartment: No
	* Bungalow: Yes
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: 3 rooms (assuming bedrooms)
9. **Baths**: 2 toilets (assuming bathrooms)
10. **Land_type**: Leasehold
11. **Additional Remark**:
	* The property is a semi-detached bungalow house.
	* It is located at Tg Nangka.
12. **Caption**: 'double storey semi-detached bungalow house at tg nangka lease proposed 3 rooms 2 toilets b 125,000.00'"
"347","Here are the extracted details:

**Kampong**: Sg Hanching (village in Brunei)

**Price**: $369,000.00

**Type**: 
* Detached
* Double storey

**Status**: Nearly completed

**Land_size**: 0.1201 acres (approximately 4857 sq m)

**Floor_size**: 2,865 sq ft

**Beds**: 4 rooms (assuming 4 bedrooms)

**Baths**: 4 toilets (assuming 4 bathrooms)

**Land_type**: Kekal (perpetual leasehold in Brunei)"
"348","Here are the extracted details:

**Kampong:**
None mentioned (the mention is of a specific location in Brunei, which is not named as a kampong)

**Price:**

* Ready to move in: $190k (middle) and $200k (corner)

**Type:**

* Double storey terrace
* Apartment, Bungalow, Detached, Semi-Detached NOT mentioned

**Storey:**
Double storey

**Status:**
Ready to move in (not new, proposed, or under-construction)

**Land_size:**
0.04ac - 0.057ac

**Floor_size:**
2000sqft - 2500sqft

**Beds:**
3 rooms (assuming bedrooms, but not explicitly stated as such)

**Baths:**
3 toilets (assuming bathrooms, but not explicitly stated as such)

**Land_type:**

* Leasehold
* Land lease for 60 years

**Additional Remark:**
None mentioned

**Caption:**
'...at Lambak...'"
"349","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: $420,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Ready to move in (new)
6. **Land_size**: 0.23 acres
7. **Floor_size**: 4300 sq ft
8. **Beds**: 6 rooms (assuming bedrooms, but not explicitly stated)
9. **Baths**: 6 toilets (assuming bathrooms, but not explicitly stated)
10. **Land_type**: Kekal B
11. **Additional Remark**: Ready to move in, 6 rooms, 6 toilets, double storey detached house"
"350","Here are the extracted details:

1. **Kampong**:
	* The kampong (village) mentioned is: Tg Nangka
2. **Price**:
	* Price: $208,000.00
3. **Type**:
	* Type: Semi-detached house
4. **Storey**:
	* Storey: Double storey
5. **Status**:
	* Status: Under construction
6. **Land_size**:
	* Land size: 0.070 acres (b)
7. **Floor_size**:
	* Floor size: 1880 sq ft
8. **Beds**:
	* Number of bedrooms: 4 rooms
9. **Baths**:
	* Number of bathrooms: 3 toilets
10. **Land_type**:
	* Land type: Kekal (in perpetuity)
11. **Additional Remark**:
	* Additional details:
		+ Remaining: None mentioned
12. **Additional info not explicitly requested but extracted**:
	* The property has 4 rooms and 3 toilets"
"351","Here are the extracted details:

**kampong**: Serasa

**price**: B$120,000.00

**type**:
- Apartment: No mention
- Bungalow: Yes (terrace bungalow)
- Detached: No mention
- Semi-detached: No mention

**storey**: Single storey

**status**: Under-construction

**land_size**: Not mentioned

**floor_size**: 4 rooms (approximate size not specified)

**beds**: 4 rooms, assuming 1 bed per room = 4 beds

**baths**: 2 toilets, assuming 1 toilet per bathroom = 2 baths

**land_type**: Kekal (in perpetuity)"
"352","Here are the extracted details:

**Kampong:**
- Kampong Kilanas-Mulaut

**Price:**
- $343,000.00 (price is negotiable)

**Type:**
- Semi-detached house

**Storey:**
- Double storey

**Status:**
- Ready to move in

**Land Size:**
- 0.089ac (one unit) 
- 0.109ac (another unit)

**Floor Size:**
- Approximately 2551 sqft 

**Beds:**
- 4 bedrooms

**Baths:**
- 4 toilets (note: this might include one or more of the toilets being for common use in a semi-detached house setup, but it's not clear from the details provided)

**Land Type:**
- Kekal (in perpetuity)

**Additional Remarks:**
- Includes build-in cabinet for kitchen
- Wardrobe for master bedroom
- Flooring for first floor bedrooms
- Water tank and water pump
- Ready to move in"
"353","Here are the extracted details:

1. **Kampong**: Bubatik (assuming ""Bebatik"" is a kampong in Brunei)
2. **Price**: $235,000
3. **Type**:
	* Apartment: None mentioned
	* Bungalow: None mentioned
	* Detached: Semi-detached (mentioned as ""semi-detached"")
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land_size**:
	* Total land size: 0.07 acres
	* Converted to square feet: 2,500 sq ft (given directly)
7. **Floor_size**: Not specified (but given as a total floor area of 2,500 sq ft)
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Plot: Plot 3
	* Address: Bebatik
	* Land size in acres: 0.079 ac"
"354","Here are the extracted details:

* **Kampong:** Kg Bokok Temburung
* **Price:**
	+ $12,000 (for 0.2 ekar)
	+ $16,000 (for 0.20-0.25 ekar)
	+ $24,000 (for 0.30 ekar)
	+ $28,000 (for 0.35 ekar)
	+ $32,000 (for 0.40 ekar)
	+ $36,000 (for 0.45 ekar)
	+ $40,000 (for 0.50 ekar)
	+ $70,000 (for 1 ekar)
* **Type:** Not explicitly mentioned
* **Storey:** Not mentioned
* **Status:** Proposed or available for sale (not clear which)
* **Land_size:**
	+ 5.01 ekar (total land size)
	+ 0.2 ekar per lot (standard size)
* **Floor_size:** Not mentioned
* **Beds/Baths:** Not mentioned
* **Land_type:** Kekal (land is held in perpetuity)
* **Additional Remark:**
	+ Location near Sungai (river)
	+ Land is flat and even, with some hills nearby
	+ Price can be adjusted based on buyer's requirements if purchasing more than 0.2 ekar"
"355","Here are the extracted details:

* **Kampong:** Jerudong
* **Price:** $359,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned (but mentioned as ""detached"" which implies a single house)
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.095 acres
* **Floor_size:** 2836.29 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 5 toilets (assuming bathrooms)
* **Land_type:** Kekal (in perpetuity)
* **Additional Remark:**
	+ Double storey detached house
	+ Located at Jerudong"
"356","Here are the extracted details:

1. **kampong**: Jerudong
2. **price**: $139,000.00
3. **type**:
	* Apartment: None mentioned
	* Bungalow: Yes (Terrace)
	* Detached: No
	* Semi-detached: No
4. **storey**: Not specified (but referred to as a ""bungalow"")
5. **status**: Proposed
6. **land_size**: 0.036 acres
7. **floor_size**: 1000 sq ft
8. **beds**: 3 rooms
9. **baths**: 2 toilets
10. **land_type**: Kekal (In perpetuity)
11. **Additional Remark**:
	* Location: Middle area
	* Proposed (status)"
"357","Here are the extracted details:

1. **Kampong**:
	* Jangsak
2. **Price**:
	* $260,000.00 (corner unit)
	* $270,000.00 (corner unit)
3. **Type**:
	* Terrace house
4. **Storey**:
	* Double storey
5. **Status**:
	* Ready to move in (no mention of new, proposed, or under-construction)
6. **Land_size**:
	* 0.0484ac (middle unit)
	* 0.0851ac (corner unit)
7. **Floor_size**:
	* 2,404.29 sq ft
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 3 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal (a type of land tenure in Brunei)
11. **Additional Remark**:
	* Ready to move in
	* Middle unit and corner unit available"
"358","Here are the extracted details:

1. **Kampong**:
	* Not explicitly mentioned, but ""mata-mata"" is likely referring to a kampong or village in Brunei.
2. **Price**:
	* Unit 4: $300,000
	* Unit 2: $318,000
3. **Type**:
	* Semi-detached
4. **Storey**:
	* Not specified (implied as single storey)
5. **Status**:
	* Kekal (a type of land tenure in Brunei, implying long-term ownership)
6. **Land Size**:
	* 80 donum (donum is a unit of measurement for land size in Brunei)
7. **Floor Size**:
	* Not specified
8. **Beds**:
	* Number of bedrooms: Not specified
9. **Baths**:
	* Number of bathrooms: Not specified
10. **Land Type**:
	* Kekal (long-term ownership)
11. **Additional Remark**:
	* The property is semi-detached and for sale"
"359","Here are the extracted details:

1. **Kampong**:
	* Jangsak (village in Brunei)
2. **Price**:
	* $458,000.00 (negotiable)
3. **Type**:
	* Detached
4. **Storey**:
	* Double storey
5. **Status**:
	* Completed
6. **Land size**:
	* 0.152 acres
7. **Floor size**:
	* 2913 sq ft
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 3 toilets (assuming bathrooms)
10. **Land type**:
	* Kekal (land tenure in Brunei)
11. **Additional Remark**:
	* Ready to move in, completed double storey house
12. **Other details**:
	* For sale"
"360","Here are the extracted details:

1. **Kampong**: Beribi (village in Brunei)
2. **Price**: $800 per month
3. **Type**:
	* Apartment
4. **Storey**: Not mentioned (implied to be a multi-storey building with lift, but not specified as single or double storey)
5. **Status**: Proposed
6. **Land_size**: Not mentioned
7. **Floor_size**: Not mentioned
8. **Beds**: 3 rooms (assumed to be bedrooms)
9. **Baths**: 2 toilets (assumed to be bathrooms, but not confirmed if they are showers or baths)
10. **Land_type**: Not mentioned (leasehold, in perpetuity, or kekal is not specified)
11. **Additional Remark**:
	* Unfurnished
	* With lift"
"361","Here are the extracted details:

**kampong (village)**: Dadap

**price**: $268,000.00 - $288,000.00

**type**: 
* Semi-detached
* Detached is mentioned but not a semi-detached house; it was later clarified to be semi-detached.

**storey**: Double storey

**status**: Under-construction

**land_size**: 0.081ac - 0.138ac (approximate)

**floor_size**: 2900 sq ft

**beds**: 4 rooms

**baths**: 4 toilets 

**land_type**: Kekal"
"362","Here are the extracted details:

* **Kampong**: Jerudong
* **Price**:
	+ Rent: RM 5,000 per month (nett) or RM 6,800 per month (less 400 mnth)
	+ Sale price: Not mentioned
* **Type**:
	+ Apartment (first floor, but likely a ground floor unit since it has a balcony and a first floor is often the top floor in Brunei buildings)
* **Storey**: Single storey (but likely a ground plus one unit as described)
* **Status**: Long term rental available
* **Land size**: Not mentioned
* **Floor size**: Not mentioned, but assumed to be a single unit with 1st floor balcony and facilities
* **Beds**: 1 master bedroom
* **Baths**: 1 toilet
* **Land_type**:
	+ Not explicitly stated (but likely Leasehold or Kekal since it's in Brunei)
* **Additional Remark**:
	+ Fully furnished
	+ 2 air-conditioned rooms
	+ Balcony
	+ 1 living room
	+ 1 kitchen
	+ Water and electricity included
	+ Long term rental available at RM 8,771 per month (nett)"
"363","Here are the extracted details:

* **Kampong**: Lambak
* **Price**: $270,000.00 (leasehold)
* **Type**: Semi-detached house
* **Storey**: Double storey
* **Status**: Ready to move in
* **Land_size**: Not specified
* **Floor_size**: Not specified
* **Beds**: 4 rooms (assuming 4 bedrooms)
* **Baths**: Not specified
* **Land_type**: Leasehold"
"364","Here are the extracted details:

* **Kampong (Village)**: Lempaki Mulaut
* **Price**:
	+ Starting price: $273k
	+ Price per unit: $283k
* **Type**:
	+ Apartment: No
	+ Bungalow: No
	+ Detached: No
	+ Semi-detached: Yes (two-storey)
* **Storey**: Two storey
* **Status**: Ready for move-in
* **Land Size**: 0.070 ac and 0.108 ac (note: the difference in land size is likely due to a discrepancy or a correction)
* **Floor Size**: 1,950 sq ft
* **Beds**: 4 bedrooms
* **Baths**: 3 bathrooms
* **Land Type**: Kekal
* **Additional Remark**:
	+ Only two units left
	+ Ready for move-in"
"365","Here are the extracted details:

* **Kampong**: Kampong Kilanas-Mulaut
* **Price**:
	+ Price: B$343,000.00 (negotiable)
	+ Payment options: Cash, Bank Loan, Government Loan
* **Type**: Semi-detached house (double storey)
* **Storey**: Double storey
* **Status**: Ready to move in (1 unit available)
* **Land size**:
	+ Total land size: 2 plots (0.089ac and 0.109ac) = 0.198ac (no conversion provided, assuming acres only)
	+ Land type: Kekal (permanent/ inherited land ownership)
* **Floor size**: Approx 2551 sqft
* **Beds**: 4 bedrooms
* **Baths**: 4 toilets (assuming same as number of bedrooms and bathrooms, but no specific mention of separate bathrooms)
* **Additional Remark**:
	+ Each unit includes: 
		- Built-in cabinet for kitchen
		- Wardrobe for master bedroom
		- Flooring for first floor bedrooms
		- Water tank
		- Water pump"
"366","Here are the extracted details:

* **Kampong:** Mata2 Gadong
* **Price:** BND 120,000 (12 k)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
* **Storey:** Single storey is implied by the term ""kampong"" but not explicitly stated, however it's also possible that a single lot can be double storey depending on the actual development.
* **Status:** New (proposed) or proposed for sale status is unclear from the text. It could imply either status as the actual property may not exist yet.
* **Land size:** 0.192 ekar
* **Floor size:** Not mentioned
* **Beds:** Not mentioned
* **Baths:** Not mentioned
* **Land type:** Leasehold for 55 years
* **Additional Remark:**
	+ Location is in Mata2 Gadong, likely a Kampong (village) area of Brunei.
	+ The term ""kg"" implies that it's located within a Kampong (Kampong Mata2 Gadong)
	+ Jumlah 1 lot implies there is only one plot available"
"367","Here are the extracted details:

1. **Kampong**: Tg Bunut Kekal
2. **Price**: B$420,000.00 ( Brunei dollars)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes, double storey detached house
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Ready to move in (not new, proposed, or under-construction)
6. **Land_size**: 0.24 acres
7. **Floor_size**: Not explicitly mentioned (implied by ""double storey"")
8. **Beds**: Not explicitly mentioned (implied by ""house"")
9. **Baths**: Not explicitly mentioned (implied by ""house"")
10. **Land_type**: Kekal
11. **Additional Remark**: Ready to move in, B$420,000.00"
"368","Here are the extracted details:

**Kampong:**
The kampong (village in Brunei) mentioned is Sg Akar.

**Price:**
- The price of one unit is $280,000.
- The price of another unit is $290,000.

**Type:**
- The property type is a **detached house**.

**Storey:**
The property is a **double storey** detached house.

**Status:**
The status of the property is **proposed**, with 6 units planned.

**Land Size:**
The land size for plot N is 0.096ac and for plot S is 0.113ac.

**Floor Size:**
- Not specified, but mentioned as 2432 sq ft (assuming it's floor area).

**Beds:**
There are **4 rooms**, which implies 4 bedrooms.

**Baths:**
There are **4 toilets**, which implies 4 bathrooms.

**Land Type:**
The land type is Leasehold, with a remaining lease period of 29 years left out of the initial 55-year lease."
"369","Here are the extracted details:

* **Kampong:** Serasa
* **Price:** $120,000.00
* **Type:**
	+ Apartment: No mention
	+ Bungalow: Yes (specifically a single storey terrace bungalow)
	+ Detached: No mention
	+ Semi-detached: No mention
* **Storey:** Single storey
* **Status:** Under construction
* **Land_size:** Not mentioned
* **Floor_size:** 4 rooms, no floor size specified
* **Beds:** 4 bedrooms
* **Baths:** 2 bathrooms
* **Land_type:** Kekal (in perpetuity)
* **Additional Remark:**
	+ Remaining details: None specified (only mentions it's a middle unit and the price)"
"370","Here are the extracted details:

* **Kampong**: Sg Akar
* **Price**: $340,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Terrace House: Three storey
* **Storey**: Three storey
* **Status**: Proposed
* **Land_size**: 0.082 acres (3617 sq ft)
* **Floor_size**: Not mentioned (implied to be the total land size of 3617 sq ft)
* **Beds**: 5 rooms
* **Baths**: 6 toilets
* **Land_type**: Leasehold, with 55 years remaining and 29 years left on lease
* **Additional Remark**:
	+ Proposed development
	+ Remaining details not specified"
"371","Here are the extracted details:

* **Kampong:** Sg Hanching
* **Price:** B$369,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Nearly completed (under construction)
* **Land_size:** 0.1201 acres
* **Floor_size:** 2,865 sq ft
* **Beds:** 4 rooms
* **Baths:** 4 toilets
* **Land_type:** Kekal
* **Additional Remark:** 
	+ Remaining details: Not specified"
"372","Here are the extracted details:

1. **Kampong**: Jerudong (village in Brunei)
2. **Price**: B$328,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Single storey or Double storey: Not mentioned (assuming single storey as it's a semi-detached house)
5. **Status**: New (as per ""last unit"")
6. **Land_size**: Not mentioned
7. **Floor_size**: Not mentioned
8. **Beds**: 2 bedrooms (assuming, but not explicitly stated)
9. **Baths**: 3 bathrooms (assuming, but not explicitly stated)
10. **Land_type**: Leasehold
11. **Additional Remark**: The property is the last unit available."
"373","Here are the extracted details:

1. **Kampong:** Kiarong
2. **Price:** $600,000.00
3. **Type:**
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: Yes
4. **Storey:** 3 storeys
5. **Status:** Waiting for OP (Occupation Permit)
6. **Land Size:** 0.141 acres
7. **Floor Size:** 5800 sqft
8. **Beds:** 5 bedrooms
9. **Baths:** 5 toilets
10. **Land Type:** Kekal
11. **Additional Remark:**
	* High specification
	* Features living area, dining area, laundry area, family area, kitchen, wet dry balcony"
"374","Here are the extracted details:

1. **Kampong**:
	* Jerudong (no specific kampong mentioned, but it seems to be a district or area)
2. **Price**:
	* For 1st floor: $500/month less $400/month nett for long term
	* For unfurnished: $450/month less $350/month for long term
3. **Type**:
	* Apartment (no specific type mentioned, but it seems to be a residential unit on the 1st floor)
4. **Storey**:
	* Single storey (since it's described as ""1st floor"")
5. **Status**:
	* Not explicitly mentioned, but likely available for rent or lease
6. **Land Size**:
	* Not mentioned
7. **Floor Size**:
	* Not mentioned
8. **Beds**:
	* 2 bedrooms (for the unfurnished option)
9. **Baths**:
	* 1 bathroom (mentioned, but no specific number for the unfurnished option)
10. **Land Type**:
	* Leasehold (no specific details provided)
11. **Additional Remark**:
	* Furnished as-is
	* Master bedroom
	* Toilet
	* Living room
	* Kitchen
	* Including water and electricity"
"375","Here are the extracted details:

1. **kampong**: Tg Nangka
2. **price**: BND 208,000.00 (208 thousand Brunei dollars)
3. **type**: Semi-detached house
4. **storey**: Double storey
5. **status**: Under-construction
6. **land_size**: 0.070 acres
7. **floor_size**: 1880 sq ft
8. **beds**: 4 rooms (assuming bedrooms)
9. **baths**: 3 toilets (assuming bathrooms)
10. **land_type**: Kekal
11. **Additional Remark**: Remaining details not specified, but mentioned as ""proposed"" is incorrect and ""new"" is also incorrect, only ""under-construction"" is correct"
"376","Here are the extracted details:

1. **Kampong**: Subok B
2. **Price**: $500,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: For sale (new)
6. **Land_size**: Not mentioned
7. **Floor_size**: Not mentioned
8. **Beds**: Not mentioned
9. **Baths**: Not mentioned
10. **Land_type**: Not mentioned (but it's implied that the property is not Leasehold, In perpetuity, or Kekal)
11. **Additional Remark**: Contact 8771110 for further details"
"377","Here are the extracted details:

**Kampong:** Dadap

**Price:** $330,000.00

**Type:** 

* Type: Detached
* Storey: Double storey

**Status:** Under-construction

**Land Size:** 0.138 acres (approximately)

**Floor Size:** Not explicitly mentioned, but it is a double-storey house.

**Beds:** 4 rooms (presumably bedrooms)

**Baths:** 4 toilets (presumably bathrooms)

**Land Type:** Kekal (In perpetuity)

**Additional Remark:**

* Proposed status not mentioned (implying existing property)
* Remaining details not specified (presumably related to additional features or facilities)"
"378","Here are the extracted details:

**1. Kampong:**
The kampong (village in Brunei) mentioned is **Kg Bokok Temburung**

**2. Price:**
The price details are:
- Price per unit of land size: 
  - $0.15k for every 0.20 acres
  - $0.12k for every 0.10 acres (implied)

**3. Type:**
The types mentioned are:
- **Apartment**: Not explicitly mentioned, but implied as one of the options.
- **Bungalow**: Not explicitly mentioned.
- **Detached**: Not explicitly mentioned.
- **Semi-detached**: Not explicitly mentioned.

However, based on the context, it is likely that the land for sale is suitable for building detached or semi-detached houses.

**4. Storey:**
Not mentioned.

**5. Status:**
The status of the property is not explicitly stated as new, proposed, or under-construction. However, based on the context, it seems to be a plot of land available for sale, rather than an existing building.

**6. Land Size:**
The land size is:
- **0.20 acres**: Minimum required land size per lot
- Up to **1 eker (5.01 acres)**: Maximum land size available

**7. Floor Size:**
Not relevant, as the property appears to be a plot of land rather than an existing building.

**8. Beds:**
The number of bedrooms is not mentioned.

**9. Baths:**
The number of bathrooms is not mentioned.

**10. Land Type:**
The land type is:
- **Kekal (In perpetuity)**: As indicated by the caption ""jenis kebenaran kekal""

**11. Additional Remark:**
The additional details are:
- The plot of land is flat and even, but may have some hills.
- The price varies depending on the land size.
- If a buyer wants to purchase more than 0.20 acres, the vendor can adjust the lot size according to the buyer's needs."
"379","Here are the extracted details:

**Kampong:** Lumapas (village in Brunei)

**Price:**

* Minimum price: $199,000
* Maximum price: $228,000

**Type:**

* Apartment: None mentioned
* Bungalow: Yes (detached)
* Detached: Yes
* Semi-detached: No

**Storey:** Single storey

**Status:** Nearly completed and ready for occupation

**Land_size:**

* Minimum size: 0.125 acres
* Maximum size: 0.189 acres

**Floor_size:** 

* Minimum size: 1,370 sq ft
* Maximum size: 1,425 sq ft

**Beds:** 3 rooms (assuming bedrooms)

**Baths:** 2 toilets (assuming bathrooms)

**Land_type:** Kekal (in perpetuity)

**Additional Remark:** 2 units left"
"380","Here are the extracted details:

**Kampong:** Kg Jerudong (village in Brunei)

**Price:**

* B$318,000.00
* B$355,000.00

**Type:**

* Detached house
* Apartment is not mentioned, but bungalow and semi-detached are not mentioned either; however, it's a detached house.

**Storey:** Double storey

**Status:** 

* Not mentioned explicitly, but implied to be for sale (new or resale) as the prices are given.

**Land Size:**

* 0.120ac
* 0.118ac
* 0.145ac (b)

**Floor Size:** 

* 2600 sq ft

**Beds:** 

* 5 rooms (implied to be bedrooms, but not explicitly stated)

**Baths:** 

* 6 toilets (implied to be bathrooms, but not explicitly stated as ""bathrooms"")

**Land Type:**

* In perpetuity land"
"381","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: B$420,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Three storey (not single or double)
5. **Status**: Waiting OP (Not new, proposed, or under-construction)
6. **Land_size**: 2,202.71 sq ft
7. **Floor_size**: Not specified
8. **Beds**: Not mentioned
9. **Baths**: Not mentioned
10. **Land_type**: Kekal
11. **Additional Remark**:
	* The remaining details are not explicitly mentioned in the caption.
12. **Caption**: 'Three storey detached house at Tg Bunut waiting OP, 2,202.71 sq ft kekal, B$420,000.00'"
"382","Here are the extracted details:

**Kampong:** Bunut

**Price:** $138,000.00

**Type:**

* Apartment: No
* Bungalow: Yes
* Detached: No
* Semi-detached: Yes

**Storey:** Single storey

**Status:** Proposed/Under-construction (unit piling now)

**Land_size:** 0.0552 acres (or approximately 2238 sq ft)

**Floor_size:** 1,100 sq ft

**Beds:** 3 rooms (assuming bedrooms)

**Baths:** 2 toilets (assuming bathrooms)

**Land_type:** Leasehold for 85 years"
"383","Here are the extracted details:

* **Kampong:** Lempaki Mulaut
* **Price:**
	+ $273k (sale price)
	+ $283k (sale price)
* **Type:** 
	+ Semi-detached house
* **Storey:** Two storey
* **Status:** Ready for move-in, 2 units left
* **Land_size:** 
	+ 0.070 ac (land size in acres)
	+ 0.108 ac (total land size including building area in acres)
* **Floor_size:** 1,950 sq ft (floor area)
* **Beds:** 4 bedrooms
* **Baths:** 3 bathrooms
* **Land_type:** Kekal (in perpetuity)"
